Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
Torturer,Intrigue,Action - Attack,,"+3 Cards
Each other player either discards 2 cards or gains a Curse to their hand, their choice. (They may pick an option they can't do.)",,+3,,,,,1?,,
Trading Post,Intrigue,Action,,"Trash 2 cards from your hand. If you did, gain a Silver to your hand.",,,,,2,,,1,
Upgrade,Intrigue,Action,,"+1 Card
+1 Action
Trash a card from your hand. Gain a card costing exactly more than it.",+1,+1,,,1,,,1,
Wishing Well,Intrigue,Action,,"+1 Card
+1 Action
Name a card, then reveal the top card of your deck. If you named it, put it into your hand.",+1,+1-2,,,,,,,
Coppersmith,"Intrigue, 1E",Action,,Copper produces an extra this turn.,,,,+,,,,,
Great Hall,"Intrigue, 1E",Action - Victory,,"+1 Card
+1 Action1",+1,+1,,,,,,,1
Saboteur,"Intrigue, 1E",Action - Attack,,Each other player reveals cards from the top of their deck until revealing one costing or more. They trash that card and may gain a card costing at most less than it. They discard the other revealed cards.,,,,,,,,,
Scout,"Intrigue, 1E",Action,,"+1 Action
Reveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.",+1,+0-4,,,,,,,
Secret Chamber,"Intrigue, 1E",Action - Reaction,,"Discard any number of cards. + per card discarded.When another player plays an Attack card, you may reveal this from your hand. If you do, +2 Cards, then put 2 cards from your hand on top of your deck.",,-X,,+,,,,,
Tribute,"Intrigue, 1E",Action,,"The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an…
Action Card, +2 Actions
Treasure Card, +
Victory Card, +2 Cards.",+2Z?,+2Y?,,+?,,,,,
Courtier,"Intrigue, 2E",Action,,"Reveal a card from your hand. For each type it has (Action, Attack, etc.), choose one: +1 Action; or +1 Buy; or +; or gain a Gold. The choices must be different.",+1?,,+1?,+?,,,,1?,
Diplomat,"Intrigue, 2E",Action - Reaction,,"+2 Cards
If you have 5 or fewer cards in hand (after drawing), +2 Actions.When another player plays an Attack card, you may first reveal this from a hand of 5 or more cards, to draw 2 cards then discard 3.",+2?,+2,,,,,,,
Lurker,"Intrigue, 2E",Action,,"+1 Action
Choose one: Trash an Action card from the Supply; or gain an Action card from the trash.",+1,,,,1?,,,1?,
Mill,"Intrigue, 2E",Action - Victory,,"+1 Card
+1 Action
You may discard 2 cards, for +1",+1,"+1,-1?,-1?",,+?,,,,,1
Patrol,"Intrigue, 2E",Action,,"+3 Cards
Reveal the top 4 cards of your deck. Put the Victory cards and Curses into your hand. Put the rest back in any order.",,+3-7,,,,,,,
Replace,"Intrigue, 2E",Action - Attack,,"Trash a card from your hand. Gain a card costing up to more than it. If the gained card is an Action or Treasure, put it onto your deck; if it's a Victory card, each other player gains a Curse.",,,,,1,,1?,1,
Secret Passage,"Intrigue, 2E",Action,,"+2 Cards
+1 Action
Take a card from your hand and put it anywhere in your deck.",+1,"+2,-1",,,,,,,
Alliance,Menagerie,Event,,"Gain a Province, a Duchy, an Estate, a Gold, a Silver, and a Copper",,,,,,,,6,(+10?)
Animal Fair,Menagerie,Action,,"+
+1 Buy per empty supply pile.Instead of paying this card's cost, you may trash an Action card from your hand.",,,X,+,,,,,
Banish,Menagerie,Event,,Exile any number of cards with the same name from your hand.,,,,,,X,,,
Bargain,Menagerie,Event,,Gain a non-Victory card costing up to . Each other player gains a Horse.,,,,,,,,1,
Barge,Menagerie,Action - Duration,,"Either now or at the start of your next turn, +3 Cards and +1 Buy.",,"+3?, N+3?","+1? , N+1?",,,,,,
Black Cat,Menagerie,Action - Attack - Reaction,,"+2 Cards
If it isn't your turn, each other player gains a Curse.When another player gains a Victory card, you may play this from your hand.",,+2,,,,,1?,,
Bounty Hunter,Menagerie,Action,,"+1 Action
Exile a card from your hand. If you didn't have a copy of it in Exile, +.",+1,,,+?,,1,,,
Camel Train,Menagerie,Action,,"Exile a non-Victory card from the Supply.When you gain this, Exile a Gold from the Supply.",,,,,,,,,
Cardinal,Menagerie,Action - Attack,,"+
Each other player reveals the top 2 cards of their deck, Exiles one costing from to , and discards the rest.",,,,+,,,,,
Cavalry,Menagerie,Action,,"Gain 2 Horses.When you gain this, +2 Cards, +1 Buy, and if it's your Buy phase return to your Action phase.",,*+2,*+1,,,,,2,
Commerce,Menagerie,Event,,Gain a Gold per differently named card you've gained this turn.,,,,,,,,X,
Coven,Menagerie,Action - Attack,,"+1 Action
+
Each other player Exiles a Curse from the Supply. If they can't, they discard their Exiled Curses.",+1,,,+,,,1*,,
Delay,Menagerie,Event,,"You may set aside an Action card from your hand. At the start of next turn, play it.",,,,,,,,,
Demand,Menagerie,Event,,"Gain a Horse and a card costing up to , both onto your deck.",,,,,,,,2,
Desperation,Menagerie,Event,,"Once per turn: You may gain a Curse. If you do, +1 Buy and +",,,+1?,+?,,,Self,1?,
Destrier,Menagerie,Action,,"+2 Cards
+1 ActionDuring your turn, this costs less per card you've gained this turn.",+1,+2,,,,,,,
Displace,Menagerie,Action,,Exile a card from your hand. Gain a differently named card costing up to more than it.,,,,,,1,,1,
Enclave,Menagerie,Event,,Gain a Gold. Exile a Duchy from the Supply.,,,,,,1,,1,(+3?)
Enhance,Menagerie,Event,,"You may trash a non-Victory card from your hand, to gain a card costing up to more than it.",,,,,1?,,,1?,
Falconer,Menagerie,Action - Reaction,,"Gain a card to your hand costing less than this.When any player gains a card with 2 or more types (Action, Attack, etc.), you may play this from your hand.",,,,,,,,1,
Fisherman,Menagerie,Action,,"+1 Card
+1 Action
+During your turns, if your discard pile is empty, this card cost less.",+1,+1,,+,,,,,
Gamble,Menagerie,Event,,"+1 Buy
Reveal the top card of your deck. It it's a Treasure or Action, you may play it. Otherwise, discard it.",,,+1,,,,,,
Gatekeeper,Menagerie,Action - Duration - Attack,,"At the start of your next turn, +. Until then, when another player gains an Action or Treasure card they don't have an Exiled copy of, they Exile it.",,,,N +,,,,,
Goatherd,Menagerie,Action,,"+1 Action
You may trash a card from your hand.
+1 Card per card the player to your right trashed on their last turn.",+1,+X,,,1?,,,,
Groom,Menagerie,Action,,"Gain a card costing up to If it's an...
Action card, gain a Horse;
Treasure card, gain a Silver;
Victory card, +1 Card and +1 Action.",+1?,+1?,,,,,,"1, 1?",
Horse,Menagerie,Action,,"+2 Cards
+1 Action
Return this to its pile.
(This is not in the Supply.)",+1,+2,,,,,,,
Hostelry,Menagerie,Action,,"+1 Card
+2 Actions
When you gain this, you may discard any number of Treasures, revealed, to gain that many Horses.",+2,"+1
*-X",,,,,,*X,
Hunting Lodge,Menagerie,Action,,"+1 Card
+2 Action
You may discard your hand for +5 Cards.",+2,"+1, -X+5?",,,,,,,
Invest,Menagerie,Event,,"Exile an Action card from the Supply. While it's in Exile, when another player gains or Invests in a copy of it, +2 Cards.",,,,,,1,,,
Kiln,Menagerie,Action,,"+
The next time you play a card this turn, you may first gain a copy of it.",,,,+,,,,1?,
Livery,Menagerie,Action,,"+
This turn, when you gain a card costing or more, gain a Horse.",,,,+,,,,1?,
March,Menagerie,Event,,Look through your discard pile. You may play an Action card from it.,P1?,,,,,,,,
Mastermind,Menagerie,Action - Duration,,"At the start of your next turn, you may play an Action card from your hand three times.",N P3,,,,,,,,
Paddock,Menagerie,Action,,"+
Gain 2 Horses.
+1 Action per empty Supply pile.",+X,,,+,,,,2,
Populate,Menagerie,Event,,Gain one card from each Action Supply pile.,,,,,,,,X,
Pursue,Menagerie,Event,,"+1 Buy
Name a card. Reveal the top 4 cards from your deck. Put the matches back and discard the rest.",,,+1,,,,,,
Reap,Menagerie,Event,,"Gain a Gold. Set it aside. If you do, at the start of your next turn, play it.",,,,(N +),,,,1,
Ride,Menagerie,Event,,Gain a Horse.,,,,,,,,1,
Sanctuary,Menagerie,Action,,"+1 Card
+1 Action
+1 Buy
You may Exile a card from your hand.",+1,+1,+1,,,1?,,,
Scrap,Menagerie,Action,,Trash a card from your hand. Choose a different thing per it costs: +1 Card; +1 Action; +1 Buy; +; gain a Silver; gain a Horse.,+1?,+1?,+1?,+?,1,,,0-2,
Seize the Day,Menagerie,Event,,Once per game: Take an extra turn after this one.,,,,,,,,,
Sheepdog,Menagerie,Action - Reaction,,"+2 CardsWhen you gain a card, you may play this from your hand.",,+2,,,,,,,
Sleigh,Menagerie,Action - Reaction,,"Gain 2 Horses.When you gain a card, you may discard this, to put that card into your hand or onto your deck.",,,,,,,,2,
Snowy Village,Menagerie,Action,,"+1 Card
+4 Actions
+1 Buy
Ignore any further +Actions you get this turn.","+4, -X",+1,+1,,,,,,
Stampede,Menagerie,Event,,"If you have 5 or fewer cards in play, gain 5 Horses onto your deck.",,,,,,,,5,
Stockpile,Menagerie,Treasure,,"+1 Buy
When you play this, Exile it.",,,+1,+,,Self,,,
Supplies,Menagerie,Treasure,,"When you play this, gain a Horse onto your deck.",,,,+,,,,1,
Toil,Menagerie,Event,,"+1 Buy
You may play an Action card from your hand.",P1?,,+1,,,,,,
Transport,Menagerie,Event,,Choose one: Exile an Action card from the Supply; or put an Action card you have in Exile onto your deck.,,,,,,1?,,,
Village Green,Menagerie,Action - Duration - Reaction,,"Either now or at the start of your next turn, +1 Card and +2 Actions.When you discard this other than during Clean-up, you may play it.","+2?, N+2?","+1?, N+1?",,,,,,,
Way of the Butterfly,Menagerie,Way,,You may return this to its pile to gain a card costing exactly more than it.,,,,,,,,1,
Way of the Camel,Menagerie,Way,,Exile a Gold from the Supply,,,,,,1,,,
Way of the Chameleon,Menagerie,Way,,"Follow this card's instructions; each time that would give you +Cards this turn, you get + instead, and vice-versa.",,"-X, +X",,"-, +",,,,,
Way of the Frog,Menagerie,Way,,"+1 Action
When you discard this from play this turn, put it onto your deck.",+1,,,,,,,,
Way of the Goat,Menagerie,Way,,Trash a card from your hand.,,,,,1,,,,
Way of the Horse,Menagerie,Way,,"+2 Cards
+1 Action
Return this to its pile.",+1,+2,,,Self,,,,
Way of the Mole,Menagerie,Way,,"+1 Action
Discard your hand. +3 Cards.",+1,"-X, +3",,,,,,,
Way of the Monkey,Menagerie,Way,,"+1 Buy
+",,,+1,+,,,,,
Way of the Mouse,Menagerie,Way,,"Play the set-aside card, leaving it there.Setup: Set aside an unused Action costing or .",,,,,,,,,
Way of the Mule,Menagerie,Way,,"+1 Action
+",+1,,,+,,,,,
Way of the Otter,Menagerie,Way,,+2 Cards,,+2,,,,,,,
Way of the Owl,Menagerie,Way,,Draw until you have 6 cards in your hand.,,=6,,,,,,,
Way of the Ox,Menagerie,Way,,+2 Actions,+2,,,,,,,,
Way of the Pig,Menagerie,Way,,"+1 Card
+1 Action",+1,+1,,,,,,,
Way of the Rat,Menagerie,Way,,You may discard a Treasure to gain a copy of this.,,-1,,,,,,1,
Way of the Seal,Menagerie,Way,,"+
This turn, when you gain a card, you may put it onto your deck.",,,,+,,,,,
Way of the Sheep,Menagerie,Way,,+,,,,+,,,,,
Way of the Squirrel,Menagerie,Way,,+2 Cards at the end of this turn.,,N +2,,,,,,,
Way of the Turtle,Menagerie,Way,,"Set this aside. If you did, play it at the start of your next turn.",,,,,,,,,
Way of the Worm,Menagerie,Way,,Exile an Estate from the Supply.,,,,,,1,,,(+1?)
Wayfarer,Menagerie,Action,,"+3 Cards
You may gain a Silver.This has the same cost as the last other card gained this turn, if any.",,+3,,,,,,1?,
Bad Omens,Nocturne,Hex,,Put your deck into your discard pile. Look through it and put 2 Coppers from it onto your deck (or reveal you can't).,,,,,,,,,
Bard,Nocturne,Action - Fate,,"+
Receive a Boon.",,,,+,,,,,
Bat,Nocturne,Night,,"Trash up to 2 cards from your hand. If you trashed at least one, exchange this for a Vampire.
(This is not in the Supply.)",,,,,"0-2, Self?",,,1?,
Blessed Village,Nocturne,Action - Fate,,"+1 Card
+2 ActionsWhen you gain this, take a Boon. Receive it now or at the start of your next turn.",+2,+1,,,,,,,
Cemetery,Nocturne,Victory,,"2?When you gain this, trash up to 4 cards from your hand.
Heirloom: Haunted Mirror",,,,,*4,,,,2
Changeling,Nocturne,Night,,"Trash this. Gain a copy of a card you have in play.In games using this, when you gain a card costing or more, you may exchange it for a Changeling.",,,,,Self,,,1,
Cobbler,Nocturne,Night - Duration,,"At the start of your next turn, gain a card to your hand costing up to .",,,,,,,,N 1,
Conclave,Nocturne,Action,,"+
You may play an Action card from your hand that you don't have a copy of in play. If you do, +1 Action.","P1, +1?",,,+,,,,,
Crypt,Nocturne,Night - Duration,,"Set aside any number of non-Duration Treasures you have in play, face down (under this). While any remain, at the start of each of your turns, put one of them into your hand.",,"N+1, NN+1 …",,,,,,,
Cursed Gold,Nocturne,Treasure - Heirloom,,"When you play this, gain a Curse.",,,,+,,,Self,,
Cursed Village,Nocturne,Action - Doom,,"+2 Actions
Draw until you have 6 cards in hand.When you gain this, receive a Hex.",+2,=6,,,,,,,
Deluded,Nocturne,State,,"At the start of your Buy phase, return this, and you can't buy Actions this turn.",,,,,,,,,
Delusion,Nocturne,Hex,,"If you don't have Deluded or Envious, take Deluded.",,,,,,,,,
Den of Sin,Nocturne,Night - Duration,,"At the start of your next turn, +2 Cards.This is gained to your hand (instead of your discard pile).",,N +2,,,,,,,
Devil's Workshop,Nocturne,Night,,"If the number of cards you've gained this turn is:
2+, gain an Imp from its pile;
1, gain a card costing up to ;
0, gain a Gold.",,,,,,,,1,
Druid,Nocturne,Action - Fate,,"+1 Buy
Receive one of the set-aside Boons (leaving it there).Setup: Set aside the top 3 Boons face up.",,,+1,,,,,,
Envious,Nocturne,State,,"At the start of your Buy phase, return this, and Silver and Gold make this turn.",,,,(-),,,,,
Envy,Nocturne,Hex,,"If you don't have Deluded or Envious, take Envious.",,,,,,,,,
Exorcist,Nocturne,Night,,Trash a card from your hand. Gain a cheaper Spirit from one of the Spirit piles.,,,,,1,,,1,
Faithful Hound,Nocturne,Action - Reaction,,"+2 CardsWhen you discard this other than during Clean-up, you may set it aside, and put it into your hand at end of turn.",,+2,,,,,,,
Famine,Nocturne,Hex,,Reveal the top 3 cards of your deck. Discard the Actions. Shuffle the rest into your deck.,,,,,,,,,
Fear,Nocturne,Hex,,"If you have at least 5 cards in hand, discard an Action or Treasure (or reveal you can't).",,-1,,,,,,,
Fool,Nocturne,Action - Fate,,"If you aren't the player with Lost in the Woods: take it, take 3 Boons, and receive the Boons in any order.
Heirloom: Lucky Coin",,,,,,,,,
Ghost,Nocturne,Night - Duration - Spirit,,"Reveal cards from your deck until you reveal an Action. Discard the other cards and set aside the Action. At the start of your next turn, play it twice.
(This is not in the Supply.)",,,,,,,,,
Ghost Town,Nocturne,Night - Duration,,"At the start of your next turn, +1 Card and +1 Action.This is gained to your hand (instead of your discard pile).",N +1,N +1,,,,,,,
Goat,Nocturne,Treasure - Heirloom,,"When you play this, you may trash a card from your hand.",,,,+,1?,,,,
Greed,Nocturne,Hex,,Gain a Copper onto your deck.,,,,,,,1,,
Guardian,Nocturne,Night - Duration,,"At the start of your next turn, +.
 Until then, when another player plays an Attack card, it doesn't affect you.This is gained to your hand (instead of your discard pile).",,,,N +,,,,,
Haunted Mirror,Nocturne,Treasure - Heirloom,,"When you trash this, you may discard an Action card, to gain a Ghost from its pile.",,,,+,,,,*1?,
Haunting,Nocturne,Hex,,"If you have at least 4 cards in hand, put one of them onto your deck.",,-1,,,,,,,
Idol,Nocturne,Treasure - Attack - Fate,,"When you play this, if you then have an odd number of Idols in play, receive a Boon; if an even number, each other player gains a Curse.",,,,+,,,1?,,
Imp,Nocturne,Action - Spirit,,"+2 Cards
You may play an Action card from your hand that you don't have a copy of in play.
(This is not in the Supply.)",P1?,+2,,,,,,,
Leprechaun,Nocturne,Action - Doom,,"Gain a Gold. If you have exactly 7 cards in play, gain a Wish from its pile. Otherwise, receive a Hex.",,,,,,,,"1, 1?",
Locusts,Nocturne,Hex,,"Trash the top card of your deck. If it's Copper or Estate, gain a Curse. Otherwise, gain a cheaper card that shares a type with it.",,,,,1,,1?,1?,
Lost in the Woods,Nocturne,State,,"At the start of your turn, you may discard a card to receive a Boon.",,-1?,,,,,,,
Lucky Coin,Nocturne,Treasure - Heirloom,,"When you play this, gain a Silver.",,,,+,,,,1,
Magic Lamp,Nocturne,Treasure - Heirloom,,"When you play this, if there are at least 6 cards that you have exactly 1 copy of in play, trash this. If you do, gain 3 Wishes from their pile.",,,,+,Self?,,,3?,
Miserable,Nocturne,State,,-2,,,,,,,,,-2
Misery,Nocturne,Hex,,"If this is your first Misery this game, take Miserable. Otherwise, flip it over to Twice Miserable.",,,,,,,,,-2
Monastery,Nocturne,Night,,"For each card you've gained this turn, you may trash a card from your hand or a Copper you have in play.",,,,,X,,,,
Necromancer,Nocturne,Action,,"Play a face up, non-Duration Action card from the trash, leaving it there and turning it face down for the turn.Setup: Put the 3 Zombies into the trash.",,,,,,,,,
Night Watchman,Nocturne,Night,,"Look at the top 5 cards of your deck, discard any number, and put the rest back in any order.This is gained to your hand (instead of your discard pile).",,,,,,,,,
Pasture,Nocturne,Treasure - Victory - Heirloom,,Worth 1? per Estate you have.,,,,+,,,,,X
Pixie,Nocturne,Action - Fate,,"+1 Card
+1 Action
Discard the top Boon. You may trash this to receive that Boon twice.
Heirloom: Goat",+1,+1,,,Self?,,,,
Plague,Nocturne,Hex,,Gain a Curse to your hand.,,,,,,,1,,
Pooka,Nocturne,Action,,"You may trash a Treasure other than Cursed Gold from your hand, for +4 Cards.
Heirloom: Cursed Gold",,+4?,,,1?,,,,
Pouch,Nocturne,Treasure - Heirloom,,+1 Buy,,,+1,+,,,,,
Poverty,Nocturne,Hex,,Discard down to 3 cards in hand.,,-X,,,,,,,
Raider,Nocturne,Night - Duration - Attack,,"Each other player with 5 or more cards in hand discards a copy of a card you have in play (or reveals they can't).
At the start of your next turn, +.",,,,N +,,,,,
Sacred Grove,Nocturne,Action - Fate,,"+1 Buy
+
Receive a Boon. If it doesn't give +, each other player may receive it.",,,+1,+,,,,,
Secret Cave,Nocturne,Action - Duration,,"+1 Card
+1 Action
You may discard 3 cards. If you did, then at the start of your next turn, +.
Heirloom: Magic Lamp",+1,"+1, -3?",,N +?,,,,,
Shepherd,Nocturne,Action,,"+1 Action
Discard any number of Victory cards, revealing them. +2 Cards per card discarded.
Heirloom: Pasture",+1,"-X, +2X",,,,,,,
Skulk,Nocturne,Action - Attack - Doom,,"+1 Buy
Each other player receives the next Hex.When you gain this, gain a Gold.",,,+1,,,,,*1,
The Earth's Gift,Nocturne,Boon,,You may discard a Treasure to gain a card costing up to .,,-1?,,,,,,1?,
The Field's Gift,Nocturne,Boon,,"+1 Action
+
(Keep this until Clean-up.)",+1,,,+,,,,,
The Flame's Gift,Nocturne,Boon,,You may trash a card from your hand.,,,,,1?,,,,
The Forest's Gift,Nocturne,Boon,,"+1 Buy
+
(Keep this until Clean-up.)",,,+1,+,,,,,
The Moon's Gift,Nocturne,Boon,,Look through your discard pile. You may put a card from it onto your deck.,,,,,,,,,
The Mountain's Gift,Nocturne,Boon,,Gain a Silver.,,,,,,,,1,
The River's Gift,Nocturne,Boon,,"+1 Card at the end of this turn.
(Keep this until Clean-up.)",,N +1,,,,,,,
The Sea's Gift,Nocturne,Boon,,+1 Card,,+1,,,,,,,
The Sky's Gift,Nocturne,Boon,,You may discard 3 cards to gain a Gold.,,-3?,,,,,,1?,
The Sun's Gift,Nocturne,Boon,,Look at the top 4 cards of your deck. Discard any number of them and put the rest back in any order.,,,,,,,,,
The Swamp's Gift,Nocturne,Boon,,Gain a Will-o'-Wisp from its pile.,,,,,,,,1,
The Wind's Gift,Nocturne,Boon,,"+2 Cards
Discard 2 cards.",,"+2,-2",,,,,,,
Tormentor,Nocturne,Action - Attack - Doom,,"+
If you have no other cards in play, gain an Imp from its pile. Otherwise, each other player receives the next Hex.",,,,+,,,,1?,
Tracker,Nocturne,Action - Fate,,"+
This turn, when you gain a card, you may put it onto your deck.Receive a Boon.Heirloom: Pouch",,,,+,,,,,
Tragic Hero,Nocturne,Action,,"+3 Cards
+1 Buy
If you have 8 or more cards in hand (after drawing), trash this and gain a Treasure.",,+3,+1,,Self?,,,1?,
Twice Miserable,Nocturne,State,,-4,,,,,,,,,-4
Vampire,Nocturne,Night - Attack - Doom,,"Each other player receives the next Hex.
Gain a card costing up to other than a Vampire. Exchange this for a Bat.",,,,,Self,,,2,
War,Nocturne,Hex,,Reveal cards from your deck until revealing one costing or . Trash it and discard the rest.,,,,,1,,,,
Werewolf,Nocturne,Action - Night - Attack - Doom,,"If it's your Night phase, each other player receives the next Hex. Otherwise, +3 Cards.",,+3?,,,,,,,
Will-o'-Wisp,Nocturne,Action - Spirit,,"+1 Card
+1 Action
Reveal the top card of your deck. If it costs or less, put it into your hand.
(This is not in the Supply.)",+1,"+1, +1?",,,,,,,
Wish,Nocturne,Action,,"+1 Action
Return this to its pile. If you did, gain a card to your hand costing up to .
(This is not in the Supply.)",+1,,,,Self,,,1,
Zombie Apprentice,Nocturne,Action - Zombie,,You may trash an Action card from your hand for +3 Cards and +1 Action.,+1?,+3?,,,1?,,,,
Zombie Mason,Nocturne,Action - Zombie,,Trash the top card of your deck. You may gain a card costing up to more than it.,,,,,1,,,1?,
Zombie Spy,Nocturne,Action - Zombie,,"+1 Card
+1 Action
Look at the top card of your deck. Discard it or put it back.",+1,+1,,,,,,,
Abundance,Plunder,Treasure - Duration,,The next time you gain an Action card: +1 Buy and +.,,,1,3,,,,,
Amphora,Plunder,Treasure - Duration - Loot,,Either now or at the start of your next turn: +1 Buy and +.,,,"+1?, N+1?","+3?, N+3?",,,,,
Avoid,Plunder,Event,,"+1 Buy
The next time you shuffle this turn, pick up to 3 of those cards to put into your discard pile.",,,+1,,,,,,
Buried Treasure,Plunder,Treasure - Duration,,"At the start of your next turn, +1 Buy and +.
When you gain this, play it.",,,N+1,N+3,,,,,
Bury,Plunder,Event,,"+1 Buy
Put any card from your discard pile on the bottom of your deck.",,,+1,,,,,,
Cabin Boy,Plunder,Action - Duration,,"+1 Card
+1 Action
At the start of your next turn, choose one: +; or trash this to gain a Duration card.",1,1,,2?,1?,,,1?,
Cage,Plunder,Treasure - Duration,,"Set aside up to 4 cards from your hand face down (on this). The next time you gain a Victory card, trash this, and put the set aside cards into your hand at end of turn.",,,,,,,,,
Cheap,Plunder,Trait,,Cheap cards cost less.,,,,R1,,,,,
Crew,Plunder,Action - Duration,,"+3 Cards
At the start of your next turn, put this onto your deck.",,+3,,,,,,,
Crucible,Plunder,Treasure,,Trash a card from your hand. + per it costs.,,,,?,1,,,,
Cursed,Plunder,Trait,,"When you gain a Cursed card, gain a Loot and a Curse.",,,,,,,,2,
Cutthroat,Plunder,Action - Duration - Attack,,"Each other player discards down to 3 cards in hand.
The next time anyone gains a Treasure costing or more, gain a Loot.",,,,,,,,**1,
Deliver,Plunder,Event,,"+1 Buy
This turn, each time you gain a card, set it aside, and put it into your hand at end of turn.",,+X,+1,,,,,,
Doubloons,Plunder,Treasure - Loot,,"When you gain this, gain a Gold.",,,,3,,,,1,
Endless Chalice,Plunder,Treasure - Duration - Loot,,"Now and at the start of each of your turns for the rest of the game:

+1 Buy",,,N...+1,N...+1,,,,,
Enlarge,Plunder,Action - Duration,,"Now and at the start of your next turn: Trash a card from your hand, and gain one costing up to more.",,,,,"1,N1",,,"1,N1",
Fated,Plunder,Trait,,"When shuffling, you may look through the cards and reveal Fated cards to put them on the top or bottom.",,,,,,,,,
Fawning,Plunder,Trait,,"When you gain a Province, gain a Fawning card.",,,,,,,,1,
Figurehead,Plunder,Treasure - Duration - Loot,,"At the start of your next turn, +2 Cards.",,N+2,,+3,,,,,
Figurine,Plunder,Treasure,,"+2 Cards
You may discard an Action card for +1 Buy and +.",,+2-3,+1?,,,,,,
First Mate,Plunder,Action,,"Play any number of Action cards with the same name from your hand, then draw until you have 6 cards in hand.",PX,=6,,,,,,,
Flagship,Plunder,Action - Duration - Command,,"+
The next time you play a non-Command Action card, replay it.",P1,,,2,,,,,
Foray,Plunder,Event,,"Discard 3 cards, revealing them. If they have 3 different names, gain a Loot.",,,,,,,,1?,
Fortune Hunter,Plunder,Action,,"+
Look at the top 3 cards of your deck. You may play a Treasure from them. Put the rest back in any order.",,1*,,2+?,,,,,
Friendly,Plunder,Trait,,"At the start of your Clean-up phase, you may discard a Friendly card to gain a Friendly card.",,,,,,,,1?,
Frigate,Plunder,Action - Duration - Attack,,"+
Until the start of your next turn, each time another player plays an Action card, they discard down to 4 cards in hand afterwards.",,,,+3,,,,,
Gondola,Plunder,Treasure - Duration,,"Either now or at the start of your next turn: +When you gain this, you may play an Action card from your hand.",P1,,,2,,,,,
Grotto,Plunder,Action - Duration,,"+1 Action
Set aside up to 4 cards from your hand face down (on this). At the start of your next turn, discard them, then draw as many.",1,,,,,,,,
Hammer,Plunder,Treasure - Loot,,Gain a card costing up to .,,,,+3,,,,1,
Harbor Village,Plunder,Action,,"+1 Card
+2 Actions
After the next Action you play this turn, if it gave you +, +.",+2,+1,,**+1?,,,,,
Hasty,Plunder,Trait,,"When you gain a Hasty card, set it aside, and play it at the start of your next turn.",P1,,,,,,,,
Inherited,Plunder,Trait,,Setup: You start the game with an Inherited card in place of a starting card you choose.,,,,,,,,,
Insignia,Plunder,Treasure - Loot,,"This turn, when you gain a card, you may put it onto your deck.",,,,+3,,,,,
Inspiring,Plunder,Trait,,"After playing an Inspiring card on your turn, you may play an Action from your hand that you don't have a copy of in play.",P1?,,,,,,,,
Invasion,Plunder,Event,,"You may play an Attack from your hand.
Gain a Duchy. Gain an Action onto your deck.
Gain a Loot; play it.",P1,,,,,,,3,
Jewelled Egg,Plunder,Treasure - Duration,,"+1 BuyWhen you trash this, gain a Loot.",,,1,1,,,,,
Jewels,Plunder,Treasure - Duration - Loot,,"+1 Buy
At the start of your next turn, put this on the bottom of your deck.",,,+1,+3,,,,,
Journey,Plunder,Event,,"Once per turn: If the previous turn wasn't yours, you don't discard cards from play in Clean-up this turn, and take an extra turn after this one.",,,,,,,,,
King's Cache,Plunder,Treasure,,You may play a Treasure from your hand 3 times.,,,,,,,,,
Landing Party,Plunder,Action - Duration,,"+2 Cards
+2 Actions
The next time the first card you play on a turn is a Treasure, put this onto your deck afterwards.",+2,+2,,,,,,,
Launch,Plunder,Event,,"Once per turn: Return to your Action phase.
+1 Card, +1 Action, and +1 Buy.",+1,+1,+1,,,,,,
Longship,Plunder,Action - Duration,,"+2 Actions
At the start of your next turn, +2 Cards.",+2,N+2,,,,,,,
Looting,Plunder,Event,,Gain a Loot,,,,,,,,1,
Maelstrom,Plunder,Event,,Trash 3 cards from your hand. Each other player with 5 or more cards in hand trashes one of them.,,,,,,,3,,
Mapmaker,Plunder,Action - Reaction,,"Look at the top 4 cards of your deck. Put 2 into your hand and discard the rest.
When any player gains a Victory card, you may play this from your hand.",**P1,+2,,,,,,,
Maroon,Plunder,Action,,"Trash a card from your hand.
+2 Cards per type it has (Action, Attack, etc.).",,+X,,,1,,,,
Mining Road,Plunder,Action,,"+1 Action
+1 Buy
+
Once this turn, when you gain a Treasure, you may play it.",+1,,+1,+2,,,,,
Mirror,Plunder,Event,,"+1 Buy
The next time you gain an Action card this turn, gain a copy of it.",,,+1,,,,,1,
Nearby,Plunder,Trait,,"When you gain a Nearby card, +1 Buy.",,,+1,,,,,,
Orb,Plunder,Treasure - Loot,,"Look through your discard pile.
Choose one: Play an Action or Treasure from it; or +1 Buy and +.",P1?,,+1?,+3?,,,,,
Patient,Plunder,Trait,,"At the start of your Clean-up phase, you may set aside Patient cards from your hand to play them at the start of your next turn.",P1,,,,,,,,
Pendant,Plunder,Treasure,,+ per differently named Treasure you have in play.,,,,+X,,,,,
Peril,Plunder,Event,,You may trash an Action card from your hand to gain a Loot.,,,,,1?,,,1?,
